
ホテル番号	ホテル名	区分	郵便番号	住所	latitude	longitude
303	アパホテル〈熊本桜町バスターミナル南〉	広告動画	〒860-0016	熊本県熊本市中央区山崎町31-3	32.796359	130.703269
305	アパホテル&リゾート〈東京ベイ潮見〉	広告動画	〒135-0052	東京都江東区潮見2丁目8番6号	35.656949	139.814615
3000	アパホテル＆リゾート〈東京ベイ幕張〉ウエストウイング	広告動画(特殊)	〒261-0021	千葉県千葉市美浜区ひび野2-3	35.647396	140.043324
3002	アパホテル〈淀屋橋駅前〉	広告動画	〒541-0044	大阪府大阪市中央区伏見町3丁目1-9	34.688972	135.503534
3016	アパホテル〈新潟古町〉	広告動画	〒951-8065	新潟県新潟市中央区東堀通6番町1037-1	37.922501	139.045128
3046	アパホテル〈大阪天満〉	広告動画	〒530-0035	大阪府大阪市北区同心2-16-15	34.701353	135.515226
3047	アパホテル〈佐賀駅前中央〉	広告動画	〒840-0801	佐賀県佐賀市駅前中央2-6-14	33.265341	130.299883
3048	アパホテル〈西麻布〉	広告動画(特殊)	〒106-0031	東京都港区西麻布4-4-5	35.659878	139.723248
3051	アパホテル〈大垣駅前〉	広告動画	〒503-0901	岐阜県大垣市高屋町1-150	35.365642	136.618228
3052	アパホテル〈名古屋栄駅前〉EXCELLENT	広告動画(特殊)	〒460-0003	愛知県名古屋市中区錦3-15-30	35.170952	136.899192
3055	アパホテル〈京都駅前〉	広告動画	〒600-8234	京都府京都市下京区西洞院通塩小路下ﾙ南不動堂町806	34.986801	135.754345
3056	アパホテル〈金沢中央〉	広告動画	〒920-0981	石川県金沢市片町1-5-24	36.560392	136.651907
3057	アパホテル〈金沢西〉	広告動画	〒920-0362	石川県金沢市古府3-127	36.567753	136.607301
3058	アパホテル〈金沢片町〉	広告動画	〒920-0984	石川県金沢市池田町2番丁21-1	36.557413	136.654468
3060	アパホテル〈金沢片町〉 EXCELLENT	広告動画	〒920-0981	石川県金沢市片町2-2-13	36.560392	136.651907
3061	アパホテル〈札幌大通駅前西〉	広告動画	〒060-0061	北海道札幌市中央区南1条西9丁目15-1	43.057534	141.342363
3062	アパホテル〈金沢駅前〉	広告動画	〒920-0031	石川県金沢市広岡1-9-28	36.579542	136.645031
3064	アパホテル〈加賀大聖寺駅前〉	広告動画	〒922-0842	石川県加賀市熊坂町ｲ226-4	36.288442	136.30233
3065	アパホテル〈福井片町〉	広告動画	〒910-0023	福井県福井市順化1-16-7	36.065073	136.214705
3066	アパホテル〈富山駅前〉	広告動画	〒930-0001	富山県富山市明輪町88-2	36.701494	137.2115
3067	アパホテルステイ〈富山〉	広告動画	〒930-0842	富山県富山市窪新町6-1	36.704264	137.232541
3068	アパホテル〈砺波駅前〉	広告動画	〒939-1366	富山県砺波市表町1-3	36.636558	136.951594
3069	アパホテル〈札幌豊水すすきの駅前〉	広告動画(特殊)	〒064-0806	北海道札幌市中央区南6条西1丁目11-2	43.051561	141.337431
3070	アパホテル〈京都祇園〉EXCELLENT	広告動画	〒605-0074	京都府京都市東山区祇園町南側555番地	35.002755	135.775319
3071	アパホテル〈関空岸和田〉	広告動画	〒596-0054	大阪府岸和田市宮本町3-19	34.460843	135.375757
3072	アパホテル〈大阪谷町四丁目駅前北〉	広告動画(特殊)	〒540-0026	大阪府大阪市中央区内本町1-3-12	34.683239	135.514251
3073	アパホテル〈札幌大通駅前南〉	広告動画(特殊)	〒060-0062	北海道札幌市中央区南2条西7丁目10-1	43.056459	141.343252
3074	アパホテル〈京都駅前中央口〉	広告動画	〒600-8212	京都府京都市下京区東洞院通七条下ﾙ塩小路町533番地	34.988181	135.761715
3075	アパホテル〈小松〉	広告動画	〒923-0922	石川県小松市飴屋町53	36.401415	136.450776
3076	アパホテル〈小松グランド〉	広告動画	〒923-0957	石川県小松市本折町33	36.397434	136.448748
3077	アパホテル〈東京板橋駅前〉	広告動画(特殊)	〒170-0012	東京都豊島区上池袋4-47-1	35.738299	139.719824
3078	アパホテル〈東京大島〉	広告動画	〒136-0072	東京都江東区大島1-8-7	35.689496	139.833922
3081	アパホテル〈福岡渡辺通駅前〉EXCELLENT	広告動画	〒810-0005	福岡県福岡市中央区清川1-10-1	33.579299	130.410162
3093	アパホテル〈富山駅前南〉	広告動画	〒930-0003	富山県富山市桜町1丁目5番20号	36.698343	137.212968
3094	アパホテル〈八丁堀駅南〉	広告動画(特殊)	〒104-0041	東京都中央区新富1-14-7	35.672349	139.773577
3095	アパホテル〈日本橋浜町駅南〉	広告動画(特殊)	〒103-0007	東京都中央区日本橋浜町3-43-8	35.687732	139.788014
3100	アパホテル〈名古屋栄〉	広告動画	〒460-0008	愛知県名古屋市中区栄4-10-16	35.166558	136.905118
3101	アパホテル〈池袋駅北口〉	広告動画(特殊)	〒171-0014	東京都豊島区池袋2-48-7	35.736097	139.705589
3106	アパホテル〈築地駅南〉	広告動画(特殊)	〒104-0045	東京都中央区築地7-10-11	35.666944	139.771346
3107	 アパホテル〈赤坂見附〉	広告動画(特殊)	〒107-0052	東京都港区赤坂3丁目19番地10号	35.671243	139.734666
3108	アパホテル〈人形町駅北〉	広告動画	〒103-0012	東京都中央区日本橋堀留町2-9-4	35.688234	139.780402
3109	アパホテル〈神戸三宮〉	広告動画	〒651-0087	兵庫県神戸市中央区御幸通5-2-14	34.693649	135.199171
3110	アパホテル〈新橋 御成門〉	広告動画(特殊)	〒105-0004	東京都港区新橋6-10-3	35.665256	139.75535
3111	アパホテル〈名古屋丸の内駅前〉	広告動画	〒460-0002	愛知県名古屋市中区丸の内2-17-28	35.176298	136.898884
3112	アパホテル〈横浜関内〉	広告動画(特殊)	〒231-0013	神奈川県横浜市中区住吉町3丁目37-2	35.44691	139.636561
3113	アパホテル〈千葉八千代緑が丘〉	広告動画(特殊)	〒276-0049	千葉県八千代市緑が丘1-2-30	35.728681	140.076753
3115	アパホテル〈浅草 蔵前〉	広告動画(特殊)	〒111-0043	東京都台東区駒形2-4-6	35.707315	139.794889
3117	アパホテル〈東京九段下〉	広告動画	〒102-0072	東京都千代田区飯田橋1-4-7	35.69954	139.749321
3123	アパホテル〈大阪谷町四丁目駅前〉	広告動画	〒540-0011	大阪府大阪市中央区農人橋1-1-27	34.681008	135.51318
3129	アパホテル〈渋谷道玄坂上〉南館	広告動画	〒150-0044	東京都渋谷区円山町20番1号	35.657514	139.694603
