店コード	店名称（漢字）	郵便番号	住所	latitude	longitude
00014	浅草店	1110033	東京都台東区花川戸1-10-2	35.71391	139.799429
00015	佐野東店	3270831	栃木県佐野市浅沼町814	36.309327	139.588259
00018	桜山店	4660044	愛知県名古屋市昭和区桜山町4-71-5	35.142571	136.933234
00029	富士山駅前店	4030005	山梨県富士吉田市上吉田2-5-1富士急ﾀｰﾐﾅﾙﾋﾞﾙ	35.478459	138.797164
00036	高崎高関店	3700043	群馬県高崎市高関町429-2	36.326717	139.028793
00076	福山光南店	7200814	広島県福山市光南町3-7-46	34.478723	133.367119
00080	黒崎店	8060021	福岡県北九州市八幡西区黒崎4-1-5南大門ﾋﾞﾙ1F	33.864574	130.765377
00108	前橋南店	3710801	群馬県前橋市文京町2-28-17	36.379191	139.084932
00114	銚子店	2880048	千葉県銚子市双葉町6-11	35.733134	140.829723
00119	足利山川店	3260021	栃木県足利市山川町676-1	36.323427	139.479775
00122	平間店	2110013	神奈川県川崎市中原区上平間1955	35.55896	139.676384
00133	山崎咲ランド店	6712545	兵庫県宍粟市山崎町中井10	34.998473	134.540036
00139	三田川店	8420031	佐賀県神埼郡吉野ヶ里町大字吉田779-1	33.332687	130.405109
00149	尾道店	7220014	広島県尾道市新浜1-8-27	34.401186	133.179895
00153	出雲ドーム店	6930058	島根県出雲市矢野町999	35.380524	132.735705
00160	高岡野村店	9330014	富山県高岡市野村365ｻﾝｴｲﾊｲﾂ1F	36.747634	137.041076
00166	北見店	0900044	北海道北見市北4条西3丁目1-2伊谷ﾋﾞﾙ1F	43.803734	143.891138
00176	宮崎ピースタウン店	8800035	宮崎県宮崎市下北方町平田903-3	31.94538	131.419132
00177	鴨宮店	2500874	神奈川県小田原市鴨宮635-1	35.278765	139.17732
00199	松任店	9240865	石川県白山市倉光10-166	36.514017	136.568179
00201	萱島店	5720827	大阪府寝屋川市萱島本町18-2	34.746786	135.613367
00202	鳥取安長店	6800913	鳥取県鳥取市安長394	35.510415	134.207216
00204	永福町店	1680063	東京都杉並区和泉3-13-19	35.676204	139.6523
00211	小牧店	4850048	愛知県小牧市間々本町294	35.295652	136.909208
00235	柳ヶ瀬中央店	5008876	岐阜県岐阜市日ﾉ出町2-19	35.418965	136.75653
00284	池下店	4640841	愛知県名古屋市千種区覚王山通7-11ﾁｶｼﾝ池下	35.166978	136.947873
00290	六本松店	8100044	福岡県福岡市中央区六本松2-14-18九大教養部前	33.578167	130.379425
00295	倉吉バイパス店	6820021	鳥取県倉吉市上井359-1	35.454167	133.843657
00322	富士エンチョー店	4170058	静岡県富士市永田北町4-5	35.164082	138.676737
00329	高崎並榎店	3700802	群馬県高崎市並榎町49-1	36.336351	138.995175
00330	那覇国場店	9020075	沖縄県那覇市字国場977-1	26.198017	127.698292
00335	ときわ台店	1740071	東京都板橋区常盤台2-5-23常盤台ﾋﾞﾙ1F	35.762039	139.686094
00336	サントムーン柿田川店	4110902	静岡県駿東郡清水町玉川61-2	35.108209	138.90515
00345	中間店	8090019	福岡県中間市東中間1-2-10	33.819767	130.718241
00364	大井松田店	2580019	神奈川県足柄上郡大井町金子95-9	35.333979	139.152447
00370	北前橋店	3710037	群馬県前橋市上小出町2-40-12	36.414871	139.058369
00375	相原店	4580033	愛知県名古屋市緑区相原郷2-1501	35.080066	136.968553
00384	群馬大泉店	3700517	群馬県邑楽郡大泉町西小泉4-2-10	36.256873	139.410606
00400	那覇金城店	9010154	沖縄県那覇市赤嶺1-1-4	26.193639	127.660196
00403	要町店	1710043	東京都豊島区要町3-12-1	35.736306	139.692312
00418	旭三郷店	4880011	愛知県尾張旭市東栄町1-7-16	35.219378	137.053023
00431	南浦和店	3360017	埼玉県さいたま市南区南浦和2-40-1	35.847763	139.672983
00435	三重朝日店	5108102	三重県三重郡朝日町大字小向347-4	35.038798	136.663495
00440	伊勢原店	2591132	神奈川県伊勢原市桜台1-1-43小田急ﾏﾙｼｪ伊勢原	35.392602	139.317461
00446	山形桜田店	9902321	山形県山形市桜田西2-1-7	38.219989	140.315404
00484	厚木愛甲店	2430035	神奈川県厚木市愛甲2-10-6	35.422324	139.343545
00487	むつ店	0350071	青森県むつ市小川町1-8-28	41.297739	141.206416
00497	館林店	3740016	群馬県館林市松原1-21-18	36.237125	139.542429
00502	小樽静屋通店	0470032	北海道小樽市稲穂2-16-3	43.199372	140.995122
00525	梶ヶ谷店	2130013	神奈川県川崎市高津区末長1-8-20	35.590381	139.615656
00527	札幌麻生店	0010040	北海道札幌市北区北40条西4丁目2-10	43.108792	141.337191
00533	田主丸店	8391202	福岡県久留米市田主丸町鷹取458-1	33.343977	130.727485
00537	苫小牧店	0530021	北海道苫小牧市若草町5-3-5	42.639345	141.605373
00539	服部店	5610853	大阪府豊中市服部南町1-3-6	34.760135	135.477115
00540	会津喜多方店	9660057	福島県喜多方市字井戸尻4129-1	37.6506497	139.8814137
00541	尾崎店	5990202	大阪府阪南市下出720-5	34.360179	135.246813
00554	早稲田店	1620045	東京都新宿区馬場下町10	35.706232	139.719513
00562	栄五丁目店	4600008	愛知県名古屋市中区栄5-1-5	35.166558	136.905118
00565	大原店	2980003	千葉県いすみ市深堀1620-3	35.257799	140.391382
00602	半田店	4750903	愛知県半田市出口町1-153	34.903506	136.921638
00610	静岡国一店	4228065	静岡県静岡市駿河区宮本町1-8	34.96501	138.383455
00620	福山春日店	7210907	広島県福山市春日町5-1-7	34.508912	133.411672
00624	札幌北４８条店	0070849	北海道札幌市東区北49条東8-2-1	43.120971	141.356259
00626	直江津店	9420004	新潟県上越市西本町3-9-3	37.171319	138.238711
00652	松本横田店	3900803	長野県松本市元町2-1-16	36.244054	137.982077
00666	ルート１７６池田店	5630024	大阪府池田市鉢塚2-13-8	34.816744	135.438023
00669	天童店	9940021	山形県天童市大字山元2588	38.361013	140.389171
00674	ヨコハマ片倉町店	2210865	神奈川県横浜市神奈川区片倉1-24-8	35.489623	139.605491
00683	西宮北インター店	6511412	兵庫県西宮市山口町下山口2-1-4	34.833484	135.239956
00688	三ヶ根店	4440124	愛知県額田郡幸田町大字深溝字中池田53	34.834917	137.177478
00713	旭店	2892504	千葉県旭市ﾆ233-1	35.715437	140.638755
00723	東大宮店	3370051	埼玉県さいたま市見沼区東大宮6-158-1	35.9479	139.639976
00731	本郷台店	2470005	神奈川県横浜市栄区桂町274-23	35.363293	139.549766
00745	千葉大学前店	2630023	千葉県千葉市稲毛区緑町1-26-6	35.624439	140.097588
00746	豊里店	5330013	大阪府大阪市東淀川区豊里7-34-7	34.740361	135.540562
00759	足利南店	3260823	栃木県足利市朝倉町3-8-1	36.318875	139.445918
00761	一宮妙興寺店	4910921	愛知県一宮市妙興寺2-2-15	35.286857	136.801756
00765	大分別府店	8740919	大分県別府市石垣東10-6-6	33.297299	131.497227
00770	甚目寺店	4901114	愛知県あま市下萱津九反田52	35.180606	136.838137
00780	西尾店	4450811	愛知県西尾市道光寺町天王下11-33	34.872325	137.05908
00802	吹田北口店	5640082	大阪府吹田市片山町1-3-5	34.767983	135.523248
00804	沖縄ひらら店	9060012	沖縄県宮古島市平良字西里1000-12	24.796466	125.291694
00806	苫小牧バイパス店	0530833	北海道苫小牧市日新町2-1-35	42.630148	141.538336
00813	馬橋駅前店	2710046	千葉県松戸市西馬橋蔵元町8篠崎西馬橋ﾏﾝｼｮﾝ	35.813394	139.914511
00824	山形西バイパス店	9900832	山形県山形市城西町5-35-62	38.25803	140.3204
00833	武蔵小山店	1420063	東京都品川区荏原4-1-3	35.615495	139.706703
00843	中野富士見町店	1640013	東京都中野区弥生町2-52-5	35.688516	139.670957
00852	大垣東店	5030804	岐阜県大垣市中ﾉ江2-37-4	35.365729	136.643381
00858	豊川インター店	4420808	愛知県豊川市豊が丘町73	34.837189	137.408636
00864	桐生広沢店	3760013	群馬県桐生市広沢町4-2459	36.379027	139.338523
00871	帯広白樺通り店	0802469	北海道帯広市西19条南3-4-12	42.905634	143.160671
00881	三原店	7230014	広島県三原市城町2-13-30	34.398326	133.085189
00893	佐渡佐和田店	9521307	新潟県佐渡市東大通828-1	38.010256	138.338598
00899	東川口駅前店	3330811	埼玉県川口市戸塚2-22-1	35.867717	139.747449
00904	福岡那珂川店	8111251	福岡県那珂川市松木1-69	33.507898	130.436174
00912	根室店	0870006	北海道根室市曙町3-5ｺｰﾌﾟ内	43.3320231	145.5933976
00914	本牧店	2310804	神奈川県横浜市中区本牧宮原1-39	35.428509	139.665009
00917	松山フライブルク通り店	7900051	愛媛県松山市生石町153	33.833195	132.741865
00920	横浜医大前店	2320024	神奈川県横浜市南区浦舟町2-23-6	35.434421	139.625971
00926	佐世保中里店	8580904	長崎県佐世保市中里町142-10	33.203942	129.6842
00927	鶴見本町通り店	2300048	神奈川県横浜市鶴見区本町通3-165-6	35.501705	139.683143
00928	町田忠生店	1940035	東京都町田市忠生3-1-12	35.577671	139.418373
00936	武蔵小杉店	2110068	神奈川県川崎市中原区小杉御殿町2-35	35.581873	139.652524
00938	平塚パールロード店	2540043	神奈川県平塚市紅谷町10-5	35.327739	139.347888
00942	高島平店	1750082	東京都板橋区高島平2-33-1-203	35.788785	139.657957
00963	大和郡山店	6391115	奈良県大和郡山市横田町85-1	34.618626	135.803991
00964	平城ニュータウン店	6310804	奈良県奈良市神功5-1-1	34.721451	135.777443
00973	前橋片貝店	3710013	群馬県前橋市西片貝町1-228-1	36.389985	139.094135
00974	ヨコハマ反町店	2210841	神奈川県横浜市神奈川区松本町2-13-7	35.476336	139.620774
00976	丸亀店	7630066	香川県丸亀市天満町1-12-18	34.284046	133.778854
00978	寒河江店	9910003	山形県寒河江市大字西根字上川原225ｰ1	38.384607	140.28115
00981	西宮北口店	6620832	兵庫県西宮市甲風園1-8-1	34.750702	135.356095
00994	宝塚逆瀬川店	6650033	兵庫県宝塚市伊孑志1-6-34馬殿ﾋﾞﾙ1F	34.800236	135.35133
01010	上尾市民体育館前店	3620045	埼玉県上尾市向山4-3-25	35.960899	139.579763
01021	豊橋曙店	4418151	愛知県豊橋市曙町字南松原12	34.729273	137.395524
01029	西太田店	3730034	群馬県太田市藤阿久町749-5	36.28774	139.35762
01035	別府海岸通り店	8740945	大分県別府市浜町3-25	33.27308	131.508307
01048	志村坂上店	1740051	東京都板橋区小豆沢2-17-6	35.777645	139.69881
01054	折尾産医大前店	8070874	福岡県北九州市八幡西区大浦1-11-1	33.871712	130.712697
01057	久留米合川バイパス店	8390816	福岡県久留米市山川野口町16-7	33.319502	130.565086
01058	松橋店	8690502	熊本県宇城市松橋町松橋896-1	32.652839	130.675711
01075	宮崎ブルーアイランド店	8892151	宮崎県宮崎市大字熊野315	31.830319	131.436464
01077	真岡店	3214361	栃木県真岡市並木町1-14-3	36.443202	139.999433
01103	玉川上水店	2070022	東京都東大和市桜ｹ丘3-44桜ｹ丘団地内2号棟105号	35.734525	139.422721
01104	福岡八女店	8340004	福岡県八女市納楚760-4	33.217778	130.568542
01105	船堀駅前店	1340091	東京都江戸川区船堀3-5-7	35.681695	139.866073
01109	群馬町店	3703522	群馬県高崎市菅谷町1243-14	36.379796	139.016201
01110	萩店	7580025	山口県萩市大字土原124-1	34.412184	131.407428
01112	八尾南店	5810038	大阪府八尾市若林町1-87	34.594661	135.582428
01117	佐賀大和バイパス店	8490917	佐賀県佐賀市高木瀬町大字長瀬1224-1	33.293067	130.287721
01127	米沢金池店	9920011	山形県米沢市中田町405	37.940257	140.123579
01130	岡崎稲熊店	4440071	愛知県岡崎市稲熊町字2-56-1	34.965783	137.178185
01147	大分三重店	8797111	大分県豊後大野市三重町赤嶺1975	32.987988	131.592465
01149	柳川店	8320806	福岡県柳川市三橋町柳河585-1	33.176051	130.410985
01170	太田高林店	3730829	群馬県太田市高林北町945-7	36.265236	139.36718
01175	沼津五月町店	4100044	静岡県沼津市五月町4-20	35.114115	138.86519
01203	広島十日市店	7300851	広島県広島市中区榎町3-1	34.396647	132.444974
01204	下妻店	3040812	茨城県下妻市田下127-7	36.164649	139.965284
01206	久留米大善寺店	8300073	福岡県久留米市大善寺町宮本342-88	33.27921	130.480736
01213	小浜店	9170078	福井県小浜市大手町5-3	35.495048	135.745787
01218	内海店	4703321	愛知県知多郡南知多町大字内海字亥新田119	34.745464	136.882954
01227	今市店	3211261	栃木県日光市今市1160-7	36.724037	139.702908
01236	江南店	4838066	愛知県江南市高屋町西町23	35.348268	136.872574
01243	秋田新国道店	0100962	秋田県秋田市八橋大畑1-1-43	39.734809	140.097276
01255	福山御幸店	7202105	広島県福山市神辺町字十三軒屋150番地2	34.5494371	133.3559731
01257	西早稲田店	1690051	東京都新宿区西早稲田1-9-19	35.71009	139.715708
01265	鹿児島伊敷店	8900005	鹿児島県鹿児島市下伊敷1-38-5	31.61594	130.536259
01266	西台店	1740046	東京都板橋区蓮根2-27-14	35.783582	139.676559
01269	田原店	4413412	愛知県田原市谷熊町森下6	34.672379	137.302095
01277	高崎豊岡店	3700871	群馬県高崎市上豊岡町352-1	36.339936	138.967975
01278	志木駅東口店	3520001	埼玉県新座市東北2-39-8	35.8203493	139.5746343
01284	バロー清水高橋店	4240041	静岡県静岡市清水区高橋5-1-1	35.028846	138.470693
01285	福島信夫ヶ丘店	9608223	福島県福島市矢倉下5	37.7729301	140.4873237
01286	倉敷玉島店	7138102	岡山県倉敷市玉島1-7-3	34.54428	133.677841
01305	ゆめタウン長府店	7520926	山口県下関市ゆめﾀｳﾝ1-1	34.028996	131.013023
01312	宮崎大島バイパス店	8800824	宮崎県宮崎市大島町原ﾉ前1445-93	31.938303	131.439148
01314	美濃加茂店	5050041	岐阜県美濃加茂市太田町236-2	35.44459	137.012838
01315	西那須野店	3292733	栃木県那須塩原市二区町352-219	36.86221	139.964802
01316	高崎中居店	3701203	群馬県高崎市矢中町318-12	36.31013	139.051542
01317	牛久店	3001232	茨城県牛久市上柏田2-6-11	35.990223	140.157276
01318	竜ヶ崎店	3010015	茨城県竜ヶ崎市長沖町592-1	35.893018	140.159004
01322	第２阪和和泉店	5940082	大阪府和泉市富秋町2-8-16	34.50714	135.433489
01324	盛岡青山店	0200121	岩手県盛岡市月ｹ丘1-5-11	39.733732	141.108459
01327	ＪＲ行田駅前通り店	3610045	埼玉県行田市押上町16-1-4	36.118049	139.435633
01336	安城南店	4460044	愛知県安城市百石町2-36-4	34.950878	137.073867
01337	とやの球場前店	9500948	新潟県新潟市中央区女池南1-8-5	37.89191	139.049314
01339	二川湖西店	4413106	愛知県豊橋市中原町字東山85-1	34.724851	137.475005
01346	壱岐店	8115463	長崎県壱岐市芦辺町箱崎中山触2604-2芦辺ﾌｪﾘｰ乗場前	33.810775	129.751442
01347	スピナ一枝店	8040021	福岡県北九州市戸畑区一枝2-2-1	33.883785	130.839483
01351	二又瀬店	8120066	福岡県福岡市東区二又瀬20-15	33.608283	130.439292
01356	富士宮エンチョー店	4180001	静岡県富士宮市万野原新田3736-1	35.250779	138.622458
01360	祇園店	7310113	広島県広島市安佐南区西原7-17-22	34.439127	132.469947
01363	上六店	5430001	大阪府大阪市天王寺区上本町6-6-23	34.667129	135.519514
01365	三好ケ丘駅前店	4700202	愛知県みよし市三好丘1-5-1	35.121727	137.111891
01366	天拝坂店	8180059	福岡県筑紫野市塔原東5-4-8	33.497794	130.509574
01368	プラッセ川内店	8950036	鹿児島県薩摩川内市矢倉町4213-1	31.784055	130.310855
01372	上田東店	3860015	長野県上田市常入1-11-58	36.392448	138.264545
01378	引野インター店	8060065	福岡県北九州市八幡西区養福寺町2-2	33.842036	130.75241
01379	ゆうひパーク浜田店	6970017	島根県浜田市原井町1203-1	34.886295	132.067408
01385	近鉄郡山店	6391007	奈良県大和郡山市南郡山町539-11YKﾋﾞﾙ	34.647865	135.773011
01387	留萌店	0770028	北海道留萌市花園町4-1	43.936688	141.654398
01393	岸和田下松店	5960823	大阪府岸和田市下松町1-13-9	34.456403	135.39749
01394	新宿西口店	1600023	東京都新宿区西新宿7-1-8ﾋﾉﾃﾞﾋﾞﾙ1F	35.6913	139.691467
01402	十三店	5320025	大阪府大阪市淀川区新北野1-2-13	34.715079	135.478373
01407	薬院店	8100012	福岡県福岡市中央区白金1-21-13	33.578337	130.405077
01408	南観音店	7330035	広島県広島市西区南観音7-14-20	34.383417	132.429428
01410	北浦和店	3300074	埼玉県さいたま市浦和区北浦和1-2-18	35.875087	139.644798
01412	釧路木場店	0880622	北海道釧路郡釧路町木場1-11-4	43.00653	144.409402
01414	三条店	9550083	新潟県三条市荒町2-386-1	37.637883	138.951478
01425	蟹江けいさつ前店	4970044	愛知県海部郡蟹江町蟹江新田字八反割34-1	35.123562	136.77322
01431	池袋東店	1700013	東京都豊島区東池袋1-32-5	35.729463	139.720451
01435	米子内浜店	6830845	鳥取県米子市旗ｹ崎7-10-23	35.443402	133.310036
01437	筑紫通り店	8120015	福岡県福岡市博多区山王2-6-26	33.581245	130.434059
01438	八幡本城店	8070801	福岡県北九州市八幡西区本城5-1-6	33.882813	130.73128
01439	松本平田店	3990014	長野県松本市平田東1-30-1	36.196424	137.967063
01440	長野東和田店	3810038	長野県長野市大字東和田436-1	36.655246	138.226342
01443	東高円寺店	1660012	東京都杉並区和田3-56-12	35.692017	139.659869
01444	佐伯店	8760843	大分県佐伯市中の島1-7-50	32.95363	131.901183
01447	豊橋三の輪店	4400837	愛知県豊橋市三ﾉ輪町字本興寺25-1	34.7497635	137.4099191
01455	つくば南店	3050042	茨城県つくば市下広岡1055-608	36.061769	140.160035
01456	昭和町店	5450011	大阪府大阪市阿倍野区昭和町2-18-1有馬ﾊﾟﾚｽ阿倍野	34.6284	135.517553
01458	東伯アプト店	6892301	鳥取県東伯郡琴浦町大字八橋369	35.495337	133.667174
01462	イオンモール下田店	0392112	青森県上北郡おいらせ町中野平40-1	40.607718	141.418867
01463	下松店	7440076	山口県下松市せせらぎ町3-3-20	34.016185	131.859423
01469	福島八木田店	9608164	福島県福島市八木田字中島72-1	37.751135	140.445594
01472	大間々店	3760101	群馬県みどり市大間々町大間々26-4	36.433965	139.281719
01480	江坂店	5640051	大阪府吹田市豊津町14-31	34.759882	135.49286
